"","BAGO","BLSC","COME","COMU","CORM","HADU","HOGR","LOON","MAMU","OLDS","PIGU","RBME","RNGR","SUSC","WWSC","Year","Site","Transect","Temp","ObservCond","Bay","ObservCondFactor3"
"16",0,0,0,7,1,0,0,0,3,7,0,0,0,0,0,2002,"10","101",3.55,"Good","Uyak","Good"
"17",0,0,0,27,5,0,0,0,8,0,1,0,0,0,0,2003,"10","101",4.9,"Excellent","Uyak","ExcellentIdeal"
"18",0,0,0,10,NA,0,0,0,0,19,0,0,0,0,0,2004,"10","101",4.4,"Good","Uyak","Good"
"19",0,0,0,2,NA,1,0,NA,0,18,2,0,1,0,0,2005,"10","101",4.6,"Excellent","Uyak","ExcellentIdeal"
"20",0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,1986,"10","102",4.5,"Excellent","Uyak","ExcellentIdeal"
"21",0,0,0,11,0,0,0,1,0,1,0,0,0,0,0,1987,"10","102",4.8,"Good","Uyak","Good"
"22",0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1988,"10","102",4,"Excellent","Uyak","ExcellentIdeal"
"23",0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,1989,"10","102",2.7,"Excellent","Uyak","ExcellentIdeal"
"24",0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,1990,"10","102",2.2,"Excellent","Uyak","ExcellentIdeal"
"25",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1991,"10","102",2.5,"Average","Uyak","FairAverage"
"26",0,0,0,9,0,0,0,1,3,1,0,0,0,0,0,1992,"10","102",3.5,"Excellent","Uyak","ExcellentIdeal"
"27",0,0,0,68,0,0,0,0,2,5,0,0,0,0,0,1993,"10","102",3,"Excellent","Uyak","ExcellentIdeal"
"28",0,0,0,2,0,0,0,0,13,0,0,0,0,0,2,1994,"10","102",3,"Excellent","Uyak","ExcellentIdeal"
"29",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1995,"10","102",3,"Excellent","Uyak","ExcellentIdeal"
"30",0,0,0,73,0,0,0,0,2,0,0,0,0,0,0,1996,"10","102",3.5,"Good","Uyak","Good"
"31",0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,1997,"10","102",3,"Excellent","Uyak","ExcellentIdeal"
"32",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1999,"10","102",3,"Average","Uyak","FairAverage"
"33",0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,2000,"10","102",2.5,"Good","Uyak","Good"
"34",0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,2001,"10","102",3.9,"Average","Uyak","FairAverage"
"35",0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,2002,"10","102",4.2,"Good","Uyak","Good"
"36",0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,2003,"10","102",5,"Good","Uyak","Good"
"37",0,0,0,1,NA,0,0,0,3,0,0,0,0,0,0,2004,"10","102",4.6,"Good","Uyak","Good"
"38",0,0,0,10,NA,0,0,NA,0,0,0,0,0,0,0,2005,"10","102",4.4,"Excellent","Uyak","ExcellentIdeal"
"39",0,30,0,4,0,10,4,2,2,8,0,0,5,17,11,1986,"10","103",4.5,"Excellent","Uyak","ExcellentIdeal"
"40",0,61,0,3,2,10,1,3,0,4,0,0,2,2,18,1987,"10","103",4.8,"Good","Uyak","Good"
"41",4,18,0,1,2,6,0,3,0,9,0,0,1,0,5,1988,"10","103",4,"Excellent","Uyak","ExcellentIdeal"
"42",0,42,0,22,2,8,7,4,0,12,1,0,5,7,17,1989,"10","103",2.7,"Excellent","Uyak","ExcellentIdeal"
"43",0,42,0,0,3,23,0,3,0,9,1,0,1,2,34,1990,"10","103",2.2,"Excellent","Uyak","ExcellentIdeal"
"44",0,57,0,1,3,16,0,3,0,0,2,0,0,6,23,1991,"10","103",2.5,"Average","Uyak","FairAverage"
"45",2,0,0,1,3,15,0,2,0,6,2,0,0,18,0,1992,"10","103",3.5,"Excellent","Uyak","ExcellentIdeal"
"46",0,42,0,6,15,10,1,5,0,5,3,1,2,2,0,1993,"10","103",3,"Excellent","Uyak","ExcellentIdeal"
"47",0,146,0,6,2,12,9,3,3,33,3,0,3,13,24,1994,"10","103",3.5,"Excellent","Uyak","ExcellentIdeal"
"48",6,90,0,7,3,6,3,3,5,17,0,4,4,10,0,1995,"10","103",3,"Excellent","Uyak","ExcellentIdeal"
"49",0,30,0,11,2,8,1,6,0,5,2,2,0,0,22,1996,"10","103",3.5,"Good","Uyak","Good"
"50",3,0,0,0,2,13,0,4,0,10,1,2,3,1,16,1997,"10","103",3,"Excellent","Uyak","ExcellentIdeal"
"51",0,69,0,0,1,4,1,1,2,58,0,2,1,9,31,1999,"10","103",3,"Average","Uyak","FairAverage"
"52",14,70,0,0,0,23,0,4,1,87,2,20,5,0,22,2000,"10","103",2.5,"Excellent","Uyak","ExcellentIdeal"
"53",0,23,0,2,2,0,0,1,0,8,0,3,0,0,17,2001,"10","103",3.9,"Average","Uyak","FairAverage"
"54",13,62,0,5,9,25,0,6,1,63,0,3,1,5,18,2002,"10","103",4.18,"Good","Uyak","Good"
"55",2,16,0,5,3,5,1,5,0,9,1,3,6,0,7,2003,"10","103",5.1,"Good","Uyak","Good"
"56",15,144,0,3,NA,6,0,4,0,73,3,39,4,0,30,2004,"10","103",4.6,"Good","Uyak","Good"
"57",6,8,5,4,NA,17,5,NA,0,62,1,15,3,0,18,2005,"10","103",4.2,"Excellent","Uyak","ExcellentIdeal"
"58",0,0,0,4,1,0,0,19,1,0,3,0,0,0,0,1986,"10","104",4.4,"Excellent","Uyak","ExcellentIdeal"
"59",0,0,0,7,3,0,0,0,6,6,1,2,1,0,0,1987,"10","104",4.9,"Excellent","Uyak","ExcellentIdeal"
"60",0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,1988,"10","104",4,"Excellent","Uyak","ExcellentIdeal"
"61",0,0,0,25,2,0,0,13,0,1,4,0,2,6,5,1989,"10","104",2.7,"Excellent","Uyak","ExcellentIdeal"
"62",0,0,0,7,2,10,4,0,0,0,2,0,3,0,2,1990,"10","104",2.2,"Excellent","Uyak","ExcellentIdeal"
"63",0,0,0,4,2,0,3,0,0,0,4,0,0,0,0,1991,"10","104",2.5,"Good","Uyak","Good"
"64",0,37,0,5,3,4,0,0,0,0,0,0,0,0,8,1992,"10","104",3.5,"Good","Uyak","Good"
"65",0,0,0,56,6,0,0,0,3,0,2,0,0,0,0,1993,"10","104",3,"Excellent","Uyak","ExcellentIdeal"
"66",0,4,0,4,6,11,4,3,1,0,7,0,4,0,0,1994,"10","104",3,"Excellent","Uyak","ExcellentIdeal"
"67",0,0,0,86,1,8,4,8,2,2,4,0,2,0,8,1995,"10","104",3,"Excellent","Uyak","ExcellentIdeal"
"68",0,0,0,49,3,3,1,0,9,0,2,0,0,0,0,1996,"10","104",3.5,"Good","Uyak","Good"
"69",0,13,0,3,2,0,2,0,1,0,2,0,1,0,0,1997,"10","104",3.5,"Excellent","Uyak","ExcellentIdeal"
"70",0,0,0,5,6,5,1,2,0,11,0,0,0,0,0,1999,"10","104",3,"Good","Uyak","Good"
"71",0,2,0,35,2,4,3,0,1,50,3,0,1,0,0,2000,"10","104",2.5,"Excellent","Uyak","ExcellentIdeal"
"72",0,0,0,4,4,6,0,0,2,0,0,0,0,0,0,2001,"10","104",3.9,"Average","Uyak","FairAverage"
"73",0,0,0,9,4,6,0,3,2,0,5,0,1,0,0,2002,"10","104",4.03,"Excellent","Uyak","ExcellentIdeal"
"74",0,0,0,17,10,0,0,1,4,0,2,0,0,0,0,2003,"10","104",5,"Excellent","Uyak","ExcellentIdeal"
"75",0,0,0,3,NA,7,0,0,0,0,6,0,0,0,0,2004,"10","104",4.5,"Average","Uyak","FairAverage"
"76",0,0,0,7,NA,1,0,NA,0,19,1,0,0,0,0,2005,"10","104",4.3,"Excellent","Uyak","ExcellentIdeal"
"77",0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,1986,"10","105",4.4,"Excellent","Uyak","ExcellentIdeal"
"78",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1987,"10","105",4.9,"Excellent","Uyak","ExcellentIdeal"
"79",0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1988,"10","105",4,"Excellent","Uyak","ExcellentIdeal"
"80",0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,1989,"10","105",2.7,"Excellent","Uyak","ExcellentIdeal"
"81",0,0,0,5,0,0,0,1,3,0,0,0,0,0,0,1990,"10","105",2.2,"Excellent","Uyak","ExcellentIdeal"
"82",0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1991,"10","105",2.5,"Good","Uyak","Good"
"83",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1992,"10","105",3.5,"Good","Uyak","Good"
"84",0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,1993,"10","105",3,"Excellent","Uyak","ExcellentIdeal"
"85",0,0,0,18,0,0,0,1,1,0,0,0,0,0,0,1994,"10","105",3,"Ideal","Uyak","ExcellentIdeal"
"86",0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1995,"10","105",3.5,"Excellent","Uyak","ExcellentIdeal"
"87",0,0,0,55,0,0,0,0,2,0,0,0,0,0,0,1996,"10","105",3.5,"Good","Uyak","Good"
"88",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1997,"10","105",3,"Good","Uyak","Good"
"89",0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,1999,"10","105",3,"Good","Uyak","Good"
"90",0,0,0,45,0,0,0,0,5,0,0,0,0,0,0,2000,"10","105",2.5,"Excellent","Uyak","ExcellentIdeal"
"91",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2001,"10","105",3.9,"Average","Uyak","FairAverage"
"92",0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,2002,"10","105",3.53,"Excellent","Uyak","ExcellentIdeal"
"93",0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2003,"10","105",5.1,"Excellent","Uyak","ExcellentIdeal"
"94",0,0,0,9,NA,0,0,0,0,0,0,0,0,0,0,2004,"10","105",4.4,"Average","Uyak","FairAverage"
"95",0,0,0,20,NA,0,0,NA,0,0,0,0,0,0,0,2005,"10","105",4.3,"Excellent","Uyak","ExcellentIdeal"
"96",0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1986,"10","106",4.3,"Excellent","Uyak","ExcellentIdeal"
"97",0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1987,"10","106",4.9,"Excellent","Uyak","ExcellentIdeal"
"98",0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1988,"10","106",4,"Excellent","Uyak","ExcellentIdeal"
"99",0,0,0,32,0,0,0,0,13,0,0,0,0,0,0,1989,"10","106",2.7,"Excellent","Uyak","ExcellentIdeal"
"100",0,0,0,26,0,0,0,0,11,0,0,0,0,0,0,1990,"10","106",2.2,"Excellent","Uyak","ExcellentIdeal"
"101",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1991,"10","106",2.5,"Good","Uyak","Good"
"102",0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,1992,"10","106",3.5,"Good","Uyak","Good"
"103",0,0,0,30,0,0,0,0,0,12,0,0,0,0,0,1993,"10","106",3,"Excellent","Uyak","ExcellentIdeal"
"104",0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,1994,"10","106",3.5,"Ideal","Uyak","ExcellentIdeal"
"105",0,0,0,281,0,0,0,0,0,1,0,0,0,0,0,1995,"10","106",3.5,"Excellent","Uyak","ExcellentIdeal"
"106",0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1996,"10","106",3.5,"Good","Uyak","Good"
"107",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1997,"10","106",3,"Good","Uyak","Good"
"108",0,0,0,12,0,0,0,0,4,2,0,0,0,0,0,1999,"10","106",3,"Good","Uyak","Good"
"109",0,0,0,76,0,0,0,0,2,0,0,0,0,0,0,2000,"10","106",2.5,"Excellent","Uyak","ExcellentIdeal"
"110",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2001,"10","106",4,"Average","Uyak","FairAverage"
"111",0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,2002,"10","106",3.33,"Excellent","Uyak","ExcellentIdeal"
"112",0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,2003,"10","106",5.2,"Excellent","Uyak","ExcellentIdeal"
"113",0,0,0,19,NA,0,0,0,0,0,0,0,0,0,0,2004,"10","106",4.4,"Good","Uyak","Good"
"114",0,0,0,39,NA,0,0,NA,0,0,0,0,0,0,0,2005,"10","106",4.7,"Excellent","Uyak","ExcellentIdeal"
"115",0,0,0,95,3,0,0,5,0,1,0,0,1,0,0,1986,"10","107",4.2,"Good","Uyak","Good"
"116",0,0,0,24,0,0,0,0,6,7,0,0,0,0,0,1987,"10","107",4.9,"Excellent","Uyak","ExcellentIdeal"
"117",0,15,0,19,2,0,0,0,2,0,0,0,0,0,10,1988,"10","107",4,"Excellent","Uyak","ExcellentIdeal"
"118",0,0,0,36,0,0,0,5,66,0,0,0,0,0,0,1989,"10","107",2.7,"Excellent","Uyak","ExcellentIdeal"
"119",0,5,0,13,3,0,0,2,5,0,4,0,0,0,0,1990,"10","107",2.2,"Excellent","Uyak","ExcellentIdeal"
"120",0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,1991,"10","107",2.5,"Average","Uyak","FairAverage"
"121",0,0,0,5,0,0,0,0,2,8,0,0,0,0,0,1992,"10","107",3.5,"Good","Uyak","Good"
"122",0,0,0,66,0,0,0,2,6,14,1,0,0,0,6,1993,"10","107",3.5,"Excellent","Uyak","ExcellentIdeal"
"123",0,0,0,23,5,0,0,1,2,0,0,0,0,0,0,1994,"10","107",3.5,"Ideal","Uyak","ExcellentIdeal"
"124",0,0,0,31,0,0,0,0,29,0,1,0,0,0,0,1995,"10","107",3.5,"Excellent","Uyak","ExcellentIdeal"
"125",0,0,0,78,0,0,0,2,2,0,0,0,1,0,0,1996,"10","107",3,"Excellent","Uyak","ExcellentIdeal"
"126",0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,1997,"10","107",3,"Good","Uyak","Good"
"127",0,0,0,8,2,0,0,0,0,10,0,0,0,0,0,1999,"10","107",2.7,"Good","Uyak","Good"
"128",0,0,0,67,0,0,0,0,14,0,0,0,0,0,0,2000,"10","107",2.5,"Excellent","Uyak","ExcellentIdeal"
"129",0,0,0,20,6,0,0,0,0,2,0,0,0,0,0,2001,"10","107",4.1,"Average","Uyak","FairAverage"
"130",0,0,0,23,1,0,0,0,11,9,0,0,0,0,0,2002,"10","107",3.33,"Ideal","Uyak","ExcellentIdeal"
"131",0,0,0,25,0,0,0,1,2,0,2,0,0,0,0,2003,"10","107",5.2,"Ideal","Uyak","ExcellentIdeal"
"132",0,0,0,24,NA,0,0,0,0,0,0,0,0,0,0,2004,"10","107",4.2,"Good","Uyak","Good"
"133",0,0,0,53,NA,0,0,NA,2,2,0,0,0,0,0,2005,"10","107",4.6,"Excellent","Uyak","ExcellentIdeal"
"134",12,4,0,30,4,17,0,0,0,1,0,0,0,0,2,1986,"10","108",4.1,"Good","Uyak","Good"
"135",11,38,0,14,3,4,5,2,0,6,3,4,0,14,2,1987,"10","108",4.8,"Excellent","Uyak","ExcellentIdeal"
"136",10,3,0,8,2,4,0,0,0,5,3,0,0,0,0,1988,"10","108",4,"Excellent","Uyak","ExcellentIdeal"
"137",1,3,0,112,39,0,0,1,4,361,0,17,0,2,0,1989,"10","108",2.7,"Excellent","Uyak","ExcellentIdeal"
"138",3,8,1,7,1,8,0,0,2,3,2,1,0,8,0,1990,"10","108",2.2,"Excellent","Uyak","ExcellentIdeal"
"139",0,49,0,3,14,7,3,1,0,0,0,0,1,0,0,1991,"10","108",2.5,"Average","Uyak","FairAverage"
"140",4,8,0,9,6,18,0,1,0,1,1,7,2,0,0,1992,"10","108",3,"Good","Uyak","Good"
"141",2,27,0,99,0,7,2,0,66,195,0,3,0,2,0,1993,"10","108",3.5,"Excellent","Uyak","ExcellentIdeal"
"142",0,9,0,10,6,10,5,1,4,0,4,0,5,0,0,1994,"10","108",3,"Ideal","Uyak","ExcellentIdeal"
"143",28,7,0,6,2,0,1,2,55,0,10,7,0,14,0,1995,"10","108",3.5,"Excellent","Uyak","ExcellentIdeal"
"144",8,0,0,14,8,10,0,1,0,0,0,0,0,5,5,1996,"10","108",2.5,"Excellent","Uyak","ExcellentIdeal"
"145",44,117,0,4,5,12,3,2,2,3,1,1,0,19,6,1997,"10","108",3,"Good","Uyak","Good"
"146",39,33,0,6,24,16,2,1,1,2,2,6,2,5,48,1999,"10","108",2.2,"Good","Uyak","Good"
"147",8,0,0,17,1,8,0,1,2,7,5,0,0,0,0,2000,"10","108",2.5,"Excellent","Uyak","ExcellentIdeal"
"148",6,0,0,5,17,16,0,0,1,0,2,1,0,2,0,2001,"10","108",4,"Average","Uyak","FairAverage"
"149",49,0,5,5,12,3,1,0,13,9,2,8,0,0,0,2002,"10","108",3.1,"Ideal","Uyak","ExcellentIdeal"
"150",9,2,0,4,5,6,0,0,4,0,5,1,0,9,0,2003,"10","108",5.1,"Ideal","Uyak","ExcellentIdeal"
"151",17,0,0,13,NA,2,1,1,9,0,4,1,2,0,0,2004,"10","108",4.1,"Good","Uyak","Good"
"152",6,0,0,8,NA,10,0,NA,0,4,0,3,0,0,0,2005,"10","108",4.4,"Excellent","Uyak","ExcellentIdeal"
"153",12,18,0,1,42,46,1,0,1,12,1,6,2,6,5,1986,"10","109",4.4,"Excellent","Uyak","ExcellentIdeal"
"154",4,69,0,2,21,6,3,0,0,16,5,5,2,4,12,1987,"10","109",4.8,"Good","Uyak","Good"
"155",26,87,0,0,0,26,0,15,0,4,1,5,0,14,8,1988,"10","109",4,"Excellent","Uyak","ExcellentIdeal"
"156",95,45,0,7,25,48,0,0,1,32,12,0,0,0,3,1989,"10","109",2.7,"Excellent","Uyak","ExcellentIdeal"
"157",5,29,0,0,11,20,0,0,0,10,0,0,0,0,36,1990,"10","109",2.2,"Excellent","Uyak","ExcellentIdeal"
"158",26,0,0,0,48,53,0,0,0,2,1,0,10,0,0,1991,"10","109",2.5,"Average","Uyak","FairAverage"
"159",27,10,0,1,20,31,2,9,2,0,2,15,3,2,6,1992,"10","109",2.5,"Good","Uyak","Good"
"160",3,0,0,17,13,14,0,0,5,4,8,4,1,0,0,1993,"10","109",3,"Excellent","Uyak","ExcellentIdeal"
"161",16,0,0,2,3,25,2,2,2,2,2,0,2,0,0,1994,"10","109",3.5,"Excellent","Uyak","ExcellentIdeal"
"162",8,0,2,1,14,26,0,1,0,8,2,0,0,0,0,1995,"10","109",3.5,"Excellent","Uyak","ExcellentIdeal"
"163",5,5,0,8,23,35,0,0,0,0,1,0,0,0,0,1996,"10","109",2.5,"Excellent","Uyak","ExcellentIdeal"
"164",12,0,0,4,16,13,0,1,2,0,4,2,2,0,0,1997,"10","109",3,"Good","Uyak","Good"
"165",14,12,0,0,21,33,4,0,4,16,2,4,1,0,0,1999,"10","109",2.1,"Excellent","Uyak","ExcellentIdeal"
"166",17,8,22,29,41,12,0,3,7,0,2,15,0,0,0,2000,"10","109",2.5,"Excellent","Uyak","ExcellentIdeal"
"167",38,0,0,1,16,22,3,0,0,0,3,0,1,0,0,2001,"10","109",3.9,"Good","Uyak","Good"
"168",26,0,2,6,41,14,0,0,2,6,1,0,0,0,0,2002,"10","109",3.57,"Ideal","Uyak","ExcellentIdeal"
"169",11,0,0,10,36,6,0,0,0,0,2,2,2,0,0,2003,"10","109",5,"Ideal","Uyak","ExcellentIdeal"
"170",39,0,2,3,NA,19,0,0,23,3,3,0,0,0,0,2004,"10","109",4.1,"Excellent","Uyak","ExcellentIdeal"
"171",10,0,2,6,NA,18,0,NA,6,10,0,5,0,0,0,2005,"10","109",4.4,"Excellent","Uyak","ExcellentIdeal"
"172",10,0,6,3,21,2,1,0,56,49,3,14,0,0,0,1986,"10","110",4.4,"Excellent","Uyak","ExcellentIdeal"
"173",23,2,1,1,4,4,0,0,0,24,6,2,1,12,0,1987,"10","110",4.8,"Good","Uyak","Good"
"174",16,0,0,0,14,7,1,4,0,6,4,2,4,0,7,1988,"10","110",4,"Excellent","Uyak","ExcellentIdeal"
"175",37,0,0,0,7,7,0,0,0,5,1,4,1,4,21,1989,"10","110",2.5,"Excellent","Uyak","ExcellentIdeal"
"176",21,6,0,3,28,3,3,0,0,4,2,6,3,4,24,1990,"10","110",2.2,"Excellent","Uyak","ExcellentIdeal"
"177",34,151,2,0,5,8,0,1,4,4,0,137,2,22,0,1991,"10","110",2.5,"Fair","Uyak","FairAverage"
"178",45,73,0,12,17,5,7,1,7,0,3,22,9,19,6,1992,"10","110",2.5,"Good","Uyak","Good"
"179",8,24,8,79,12,6,0,0,3,0,0,2,0,6,3,1993,"10","110",3,"Excellent","Uyak","ExcellentIdeal"
"180",15,0,0,22,6,0,0,0,0,0,4,2,2,1,7,1994,"10","110",3.5,"Excellent","Uyak","ExcellentIdeal"
"181",13,0,16,0,42,1,0,0,7,17,3,0,0,3,0,1995,"10","110",3,"Excellent","Uyak","ExcellentIdeal"
"182",9,0,0,10,140,0,0,0,3,0,0,2,0,0,6,1996,"10","110",2.5,"Excellent","Uyak","ExcellentIdeal"
"183",34,0,0,2,5,1,2,0,0,1,2,0,1,0,2,1997,"10","110",3,"Good","Uyak","Good"
"184",78,28,0,32,10,0,0,0,0,2,3,6,0,0,0,1999,"10","110",1.9,"Excellent","Uyak","ExcellentIdeal"
"185",28,0,0,9,145,2,0,0,83,72,0,7,0,0,0,2000,"10","110",2.5,"Excellent","Uyak","ExcellentIdeal"
"186",9,0,26,35,64,3,0,0,0,2,0,4,0,0,0,2001,"10","110",3.8,"Good","Uyak","Good"
"187",40,1,65,9,35,2,0,0,14,0,0,7,1,0,0,2002,"10","110",3.45,"Ideal","Uyak","ExcellentIdeal"
"188",29,3,23,113,27,3,0,0,0,4,0,25,0,0,0,2003,"10","110",5,"Ideal","Uyak","ExcellentIdeal"
"189",27,0,5,13,NA,0,0,1,30,0,2,0,1,0,0,2004,"10","110",4,"Excellent","Uyak","ExcellentIdeal"
"190",27,0,7,78,NA,0,0,NA,5,0,0,0,0,0,0,2005,"10","110",4.5,"Excellent","Uyak","ExcellentIdeal"
"191",10,0,0,362,56,4,0,0,4,0,2,0,0,0,0,1986,"10","111",4.5,"Excellent","Uyak","ExcellentIdeal"
"192",16,0,0,10,4,17,0,0,4,0,8,0,6,0,0,1987,"10","111",4.9,"Good","Uyak","Good"
"193",18,1,0,24,25,22,3,1,2,0,2,0,2,0,0,1988,"10","111",4,"Excellent","Uyak","ExcellentIdeal"
"194",48,3,0,21,23,9,2,0,2,0,1,8,1,1,0,1989,"10","111",2.5,"Good","Uyak","Good"
"195",1,0,0,6,68,0,0,0,0,0,0,3,0,0,0,1990,"10","111",0.8,"Average","Uyak","FairAverage"
"196",14,1,0,45,38,7,0,1,6,4,0,96,0,0,0,1991,"10","111",2.5,"Excellent","Uyak","ExcellentIdeal"
"197",4,0,0,41,18,5,0,0,2,0,1,10,5,0,0,1992,"10","111",2,"Good","Uyak","Good"
"198",10,0,0,69,10,5,0,2,0,0,1,0,0,0,0,1993,"10","111",3,"Excellent","Uyak","ExcellentIdeal"
"199",16,0,10,12,3,4,0,0,0,0,0,4,0,0,0,1994,"10","111",2,"Excellent","Uyak","ExcellentIdeal"
"200",10,0,35,18,17,6,0,0,2,2,0,5,0,0,0,1995,"10","111",2.5,"Good","Uyak","Good"
"201",0,0,0,73,2,0,0,0,1,0,0,0,0,0,0,1996,"10","111",2,"Good","Uyak","Good"
"202",41,0,0,18,17,6,0,0,0,0,0,9,4,0,0,1997,"10","111",2.8,"Good","Uyak","Good"
"203",50,0,0,41,152,4,0,0,0,0,1,0,0,0,0,2000,"10","111",2.3,"Average","Uyak","FairAverage"
"204",30,0,7,84,12,21,0,0,0,0,0,0,0,0,0,2001,"10","111",3.7,"Good","Uyak","Good"
"205",0,0,60,6,10,12,0,0,0,0,0,4,0,0,0,2002,"10","111",3.71,"Excellent","Uyak","ExcellentIdeal"
"206",6,0,12,39,10,4,0,0,0,0,0,1,0,0,0,2003,"10","111",4.4,"Excellent","Uyak","ExcellentIdeal"
"207",37,0,0,112,NA,2,0,0,7,0,0,4,0,0,0,2004,"10","111",3.6,"Excellent","Uyak","ExcellentIdeal"
"208",12,0,3,29,NA,10,0,NA,0,0,0,0,0,0,0,2005,"10","111",4.7,"Excellent","Uyak","ExcellentIdeal"
"209",2,60,0,387,0,2,0,1,25,0,2,0,0,0,0,1986,"10","112",4.4,"Ideal","Uyak","ExcellentIdeal"
"210",8,0,1,13,2,18,1,1,2,0,2,0,0,0,0,1987,"10","112",4.9,"Good","Uyak","Good"
"211",4,0,0,10,15,0,1,5,2,0,1,0,1,0,0,1988,"10","112",4,"Excellent","Uyak","ExcellentIdeal"
"212",0,0,0,132,0,0,2,0,2,0,0,0,0,0,0,1989,"10","112",2.6,"Good","Uyak","Good"
"213",16,8,4,0,0,12,0,0,0,0,0,0,0,0,0,1990,"10","112",0.8,"Average","Uyak","FairAverage"
"214",14,0,51,54,8,5,0,0,0,31,0,124,1,0,0,1991,"10","112",2.3,"Excellent","Uyak","ExcellentIdeal"
"215",7,0,0,8,10,13,1,0,0,0,0,7,3,0,0,1992,"10","112",2,"Good","Uyak","Good"
"216",8,0,0,76,5,25,0,0,0,0,0,0,0,0,0,1993,"10","112",3,"Excellent","Uyak","ExcellentIdeal"
"217",8,0,0,14,2,2,0,0,0,4,0,5,3,0,0,1994,"10","112",1.5,"Excellent","Uyak","ExcellentIdeal"
